CustomerKey,CustomerType,AcquisitionDate
C-0116,Individual,31-01-2022
C-0117,Individual,01-02-2022
C-0118,Individual,01-02-2022
C-0119,Individual,01-02-2022
C-0120,Business,01-02-2022
C-0121,Individual,02-02-2022
C-0122,Individual,02-02-2022
C-0123,Individual,02-02-2022
C-0124,Individual,02-02-2022
C-0125,Individual,03-02-2022
C-0126,Individual,03-02-2022
C-0127,Individual,03-02-2022
C-0128,Individual,03-02-2022
C-0129,Individual,04-02-2022
C-0130,Business,04-02-2022
C-0131,Individual,04-02-2022
C-0132,Individual,05-02-2022
C-0133,Individual,05-02-2022
C-0134,Individual,05-02-2022
C-0135,Individual,05-02-2022
C-0136,Individual,06-02-2022
C-0137,Individual,06-02-2022
C-0138,Business,06-02-2022
C-0139,Individual,06-02-2022
C-0140,Individual,07-02-2022
C-0141,Individual,07-02-2022
C-0142,Individual,07-02-2022
C-0143,Individual,08-02-2022
C-0144,Individual,08-02-2022
C-0145,Business,08-02-2022
C-0146,Individual,08-02-2022
C-0147,Individual,09-02-2022
C-0148,Business,09-02-2022
C-0149,Individual,09-02-2022
C-0150,Individual,09-02-2022
C-0151,Individual,10-02-2022
C-0152,Individual,10-02-2022
C-0153,Individual,10-02-2022
C-0154,Individual,10-02-2022
C-0155,Individual,11-02-2022
C-0156,Individual,11-02-2022
C-0157,Individual,11-02-2022
C-0158,Individual,12-02-2022
C-0159,Individual,12-02-2022
C-0160,Individual,12-02-2022
C-0161,Individual,12-02-2022
C-0162,Individual,13-02-2022
C-0163,Individual,13-02-2022
C-0164,Individual,13-02-2022
C-0165,Individual,13-02-2022
C-0166,Individual,14-02-2022
C-0167,Individual,14-02-2022
C-0168,Individual,14-02-2022
C-0169,Individual,14-02-2022
C-0170,Individual,15-02-2022
C-0171,Individual,15-02-2022
C-0172,Business,15-02-2022
C-0173,Individual,16-02-2022
C-0174,Individual,16-02-2022
C-0175,Individual,16-02-2022
C-0176,Individual,16-02-2022
C-0177,Business,17-02-2022
C-0178,Individual,17-02-2022
C-0179,Individual,17-02-2022
C-0180,Individual,17-02-2022
C-0181,Individual,18-02-2022
C-0182,Individual,18-02-2022
C-0183,Individual,18-02-2022
C-0184,Individual,18-02-2022
C-0185,Business,19-02-2022
C-0186,Business,19-02-2022
C-0187,Individual,19-02-2022
C-0188,Business,20-02-2022
C-0189,Individual,20-02-2022
C-0190,Individual,20-02-2022
C-0191,Individual,20-02-2022
C-0192,Business,21-02-2022
C-0193,Individual,21-02-2022
C-0194,Business,21-02-2022
C-0195,Individual,21-02-2022
C-0196,Individual,22-02-2022
C-0197,Individual,22-02-2022
C-0198,Business,22-02-2022
C-0199,Individual,22-02-2022
C-0200,Individual,23-02-2022
C-0201,Individual,23-02-2022
C-0202,Individual,23-02-2022
C-0203,Business,24-02-2022
C-0204,Individual,24-02-2022
C-0205,Individual,24-02-2022
C-0206,Individual,24-02-2022
C-0207,Individual,25-02-2022
C-0208,Individual,25-02-2022
C-0209,Individual,25-02-2022
C-0210,Business,25-02-2022
C-0211,Individual,26-02-2022
C-0212,Individual,26-02-2022
C-0213,Individual,26-02-2022
C-0214,Individual,27-02-2022
C-0215,Individual,27-02-2022
C-0216,Individual,27-02-2022
C-0217,Business,27-02-2022
C-0218,Individual,28-02-2022
C-0219,Individual,28-02-2022
C-0220,Individual,28-02-2022
C-0221,Individual,28-02-2022
C-0222,Business,01-03-2022
C-0223,Individual,01-03-2022
C-0224,Individual,01-03-2022
C-0225,Individual,01-03-2022
C-0226,Individual,02-03-2022
C-0227,Individual,02-03-2022
C-0228,Individual,02-03-2022
C-0229,Individual,03-03-2022
C-0230,Individual,03-03-2022
C-0231,Business,03-03-2022
C-0232,Individual,03-03-2022
C-0233,Individual,04-03-2022
C-0234,Individual,04-03-2022
C-0235,Individual,04-03-2022
C-0236,Business,04-03-2022
C-0237,Individual,05-03-2022
C-0238,Business,05-03-2022
C-0239,Individual,05-03-2022
C-0240,Business,05-03-2022
C-0241,Individual,06-03-2022
C-0242,Individual,06-03-2022
C-0243,Individual,06-03-2022
C-0244,Business,07-03-2022
C-0245,Individual,07-03-2022
C-0246,Individual,07-03-2022
C-0247,Individual,07-03-2022
C-0248,Individual,08-03-2022
C-0249,Individual,08-03-2022
C-0250,Individual,08-03-2022
C-0251,Business,08-03-2022
C-0252,Business,09-03-2022
C-0253,Individual,09-03-2022
C-0254,Individual,09-03-2022
C-0255,Individual,09-03-2022
C-0256,Individual,10-03-2022
C-0257,Individual,10-03-2022
C-0258,Business,10-03-2022
C-0259,Business,11-03-2022
C-0260,Individual,11-03-2022
C-0261,Individual,11-03-2022
C-0262,Individual,11-03-2022
C-0263,Individual,12-03-2022
C-0264,Business,12-03-2022
C-0265,Individual,12-03-2022
C-0266,Individual,12-03-2022
C-0267,Individual,13-03-2022
C-0268,Business,13-03-2022
C-0269,Individual,13-03-2022
C-0270,Individual,13-03-2022
C-0271,Individual,14-03-2022
C-0272,Individual,14-03-2022
C-0273,Individual,14-03-2022
C-0274,Individual,15-03-2022
C-0275,Individual,15-03-2022
C-0276,Business,15-03-2022
C-0277,Individual,15-03-2022
C-0278,Individual,16-03-2022
C-0279,Individual,16-03-2022
C-0280,Individual,16-03-2022
C-0281,Individual,16-03-2022
C-0282,Individual,17-03-2022
C-0283,Individual,17-03-2022
C-0284,Business,17-03-2022
C-0285,Business,18-03-2022
C-0286,Individual,18-03-2022
C-0287,Individual,18-03-2022
C-0288,Individual,18-03-2022
C-0289,Individual,19-03-2022
C-0290,Individual,19-03-2022
C-0291,Business,19-03-2022
C-0292,Individual,19-03-2022
C-0293,Individual,20-03-2022
C-0294,Individual,20-03-2022
C-0295,Individual,20-03-2022
C-0296,Individual,20-03-2022
C-0297,Individual,21-03-2022
C-0298,Individual,21-03-2022
C-0299,Individual,21-03-2022
C-0300,Individual,22-03-2022
C-0301,Business,22-03-2022
C-0302,Individual,22-03-2022
C-0303,Business,22-03-2022
C-0304,Individual,23-03-2022
C-0305,Individual,23-03-2022
C-0306,Individual,23-03-2022
C-0307,Individual,23-03-2022
C-0308,Individual,24-03-2022
C-0309,Individual,24-03-2022
C-0310,Individual,24-03-2022
C-0311,Business,24-03-2022
C-0312,Individual,25-03-2022
C-0313,Individual,25-03-2022
C-0314,Individual,25-03-2022
C-0315,Individual,26-03-2022
C-0316,Individual,26-03-2022
C-0317,Individual,26-03-2022
C-0318,Individual,26-03-2022
C-0319,Individual,27-03-2022
C-0320,Individual,27-03-2022
C-0321,Individual,27-03-2022
C-0322,Individual,27-03-2022
C-0323,Individual,28-03-2022
C-0324,Business,28-03-2022
C-0325,Individual,28-03-2022
C-0326,Individual,28-03-2022
C-0327,Business,29-03-2022
C-0328,Individual,29-03-2022
C-0329,Individual,29-03-2022
C-0330,Individual,30-03-2022
C-0331,Individual,30-03-2022
C-0332,Individual,30-03-2022
C-0333,Individual,30-03-2022
C-0334,Individual,31-03-2022
C-0335,Business,31-03-2022
C-0336,Individual,31-03-2022
C-0337,Individual,31-03-2022
C-0338,Individual,01-04-2022
C-0339,Business,01-04-2022
C-0340,Business,01-04-2022
C-0341,Individual,02-04-2022
C-0342,Individual,02-04-2022
C-0343,Business,02-04-2022
C-0344,Business,02-04-2022
C-0345,Individual,03-04-2022
C-0346,Individual,03-04-2022
C-0347,Individual,03-04-2022
C-0348,Individual,03-04-2022
C-0349,Individual,04-04-2022
C-0350,Individual,04-04-2022
C-0351,Individual,04-04-2022
C-0352,Individual,04-04-2022
C-0353,Business,05-04-2022
C-0354,Individual,05-04-2022
C-0355,Business,05-04-2022
C-0356,Business,06-04-2022
C-0357,Individual,06-04-2022
C-0358,Business,06-04-2022
C-0359,Business,06-04-2022
C-0360,Individual,07-04-2022
C-0361,Individual,07-04-2022
C-0362,Individual,07-04-2022
C-0363,Individual,07-04-2022
C-0364,Individual,08-04-2022
C-0365,Individual,08-04-2022
C-0366,Business,08-04-2022
C-0367,Individual,08-04-2022
C-0368,Individual,09-04-2022
C-0369,Individual,09-04-2022
C-0370,Individual,09-04-2022
C-0371,Individual,10-04-2022
C-0372,Individual,10-04-2022
C-0373,Individual,10-04-2022
C-0374,Individual,10-04-2022
C-0375,Business,11-04-2022
C-0376,Individual,11-04-2022
C-0377,Individual,11-04-2022
C-0378,Individual,11-04-2022
C-0379,Individual,12-04-2022
C-0380,Individual,12-04-2022
C-0381,Individual,12-04-2022
C-0382,Individual,12-04-2022
C-0383,Business,13-04-2022
C-0384,Individual,13-04-2022
C-0385,Individual,13-04-2022
C-0386,Individual,14-04-2022
C-0387,Individual,14-04-2022
C-0388,Individual,14-04-2022
C-0389,Individual,14-04-2022
C-0390,Individual,15-04-2022
C-0391,Business,15-04-2022
C-0392,Individual,15-04-2022
C-0393,Individual,15-04-2022
C-0394,Individual,16-04-2022
C-0395,Individual,16-04-2022
C-0396,Individual,16-04-2022
C-0397,Individual,16-04-2022
C-0398,Individual,17-04-2022
C-0399,Individual,17-04-2022
C-0400,Individual,17-04-2022
C-0401,Individual,18-04-2022
C-0402,Individual,18-04-2022
C-0403,Individual,18-04-2022
C-0404,Individual,18-04-2022
C-0405,Business,19-04-2022
C-0406,Individual,19-04-2022
C-0407,Individual,19-04-2022
C-0408,Individual,19-04-2022
C-0409,Individual,20-04-2022
C-0410,Individual,20-04-2022
C-0411,Business,20-04-2022
C-0412,Individual,21-04-2022
C-0413,Individual,21-04-2022
C-0414,Individual,21-04-2022
C-0415,Individual,21-04-2022
C-0416,Business,22-04-2022
C-0417,Individual,22-04-2022
C-0418,Individual,22-04-2022
C-0419,Individual,22-04-2022
C-0420,Individual,23-04-2022
C-0421,Business,23-04-2022
C-0422,Individual,23-04-2022
C-0423,Individual,23-04-2022
C-0424,Individual,24-04-2022
C-0425,Individual,24-04-2022
C-0426,Individual,24-04-2022
C-0427,Business,25-04-2022
C-0428,Individual,25-04-2022
C-0429,Individual,25-04-2022
C-0430,Individual,25-04-2022
C-0431,Individual,26-04-2022
C-0432,Individual,26-04-2022
C-0433,Individual,26-04-2022
C-0434,Individual,26-04-2022
C-0435,Individual,27-04-2022
C-0436,Individual,27-04-2022
C-0437,Individual,27-04-2022
C-0438,Individual,27-04-2022
C-0439,Individual,28-04-2022
C-0440,Individual,28-04-2022
C-0441,Individual,28-04-2022
C-0442,Business,29-04-2022
C-0443,Individual,29-04-2022
C-0444,Business,29-04-2022
C-0445,Individual,29-04-2022
C-0446,Individual,30-04-2022
C-0447,Individual,30-04-2022
C-0448,Individual,30-04-2022
C-0449,Individual,30-04-2022
C-0450,Individual,01-05-2022
C-0451,Individual,01-05-2022
C-0452,Individual,01-05-2022
C-0453,Individual,01-05-2022
C-0454,Individual,02-05-2022
C-0455,Individual,02-05-2022
C-0456,Individual,02-05-2022
C-0457,Individual,03-05-2022
C-0458,Individual,03-05-2022
C-0459,Individual,03-05-2022
C-0460,Individual,03-05-2022
C-0461,Individual,04-05-2022
C-0462,Individual,04-05-2022
C-0463,Business,04-05-2022
C-0464,Individual,04-05-2022
C-0465,Business,05-05-2022
C-0466,Individual,05-05-2022
C-0467,Individual,05-05-2022
C-0468,Business,05-05-2022
C-0469,Individual,06-05-2022
C-0470,Business,06-05-2022
C-0471,Individual,06-05-2022
C-0472,Individual,07-05-2022
C-0473,Individual,07-05-2022
C-0474,Individual,07-05-2022
C-0475,Individual,07-05-2022
C-0476,Individual,08-05-2022
C-0477,Business,08-05-2022
C-0478,Individual,08-05-2022
C-0479,Individual,08-05-2022
C-0480,Business,09-05-2022
C-0481,Individual,09-05-2022
C-0482,Business,09-05-2022
C-0483,Individual,10-05-2022
C-0484,Individual,10-05-2022
C-0485,Business,10-05-2022
C-0486,Individual,10-05-2022
C-0487,Individual,11-05-2022
C-0488,Individual,11-05-2022
C-0489,Individual,11-05-2022
C-0490,Individual,11-05-2022
C-0491,Individual,12-05-2022
C-0492,Individual,12-05-2022
C-0493,Individual,12-05-2022
C-0494,Individual,12-05-2022
C-0495,Business,13-05-2022
C-0496,Individual,13-05-2022
C-0497,Business,13-05-2022
C-0498,Individual,14-05-2022
C-0499,Individual,14-05-2022
C-0500,Individual,14-05-2022
C-0501,Individual,14-05-2022
C-0502,Individual,15-05-2022
C-0503,Individual,15-05-2022
C-0504,Individual,15-05-2022
C-0505,Individual,15-05-2022
C-0506,Individual,16-05-2022
C-0507,Individual,16-05-2022
C-0508,Individual,16-05-2022
C-0509,Individual,16-05-2022
C-0510,Individual,17-05-2022
C-0511,Individual,17-05-2022
C-0512,Individual,17-05-2022
C-0513,Business,18-05-2022
C-0514,Individual,18-05-2022
C-0515,Business,18-05-2022
C-0516,Individual,18-05-2022
C-0517,Individual,19-05-2022
C-0518,Individual,19-05-2022
C-0519,Individual,19-05-2022
C-0520,Individual,19-05-2022
C-0521,Individual,20-05-2022
C-0522,Individual,20-05-2022
C-0523,Individual,20-05-2022
C-0524,Individual,20-05-2022
C-0525,Individual,21-05-2022
C-0526,Individual,21-05-2022
C-0527,Business,21-05-2022
C-0528,Individual,22-05-2022
C-0529,Business,22-05-2022
C-0530,Individual,22-05-2022
C-0531,Individual,22-05-2022
C-0532,Individual,23-05-2022
C-0533,Individual,23-05-2022
C-0534,Business,23-05-2022
C-0535,Individual,23-05-2022
C-0536,Individual,24-05-2022
C-0537,Business,24-05-2022
C-0538,Individual,24-05-2022
C-0539,Individual,24-05-2022
C-0540,Individual,25-05-2022
C-0541,Individual,25-05-2022
C-0542,Individual,25-05-2022
C-0543,Individual,26-05-2022
C-0544,Individual,26-05-2022
C-0545,Individual,26-05-2022
C-0546,Individual,26-05-2022
C-0547,Business,27-05-2022
C-0548,Individual,27-05-2022
C-0549,Individual,27-05-2022
C-0550,Individual,27-05-2022
C-0551,Business,28-05-2022
C-0552,Individual,28-05-2022
C-0553,Individual,28-05-2022
C-0554,Individual,29-05-2022
C-0555,Business,29-05-2022
C-0556,Individual,29-05-2022
C-0557,Individual,29-05-2022
C-0558,Individual,30-05-2022
C-0559,Individual,30-05-2022
C-0560,Individual,30-05-2022
C-0561,Individual,30-05-2022
C-0562,Individual,31-05-2022
C-0563,Individual,31-05-2022
C-0564,Individual,31-05-2022
C-0565,Business,31-05-2022
C-0566,Individual,01-06-2022
C-0567,Individual,01-06-2022
C-0568,Individual,01-06-2022
C-0569,Business,02-06-2022
C-0570,Individual,02-06-2022
C-0571,Individual,02-06-2022
C-0572,Individual,02-06-2022
C-0573,Individual,03-06-2022
C-0574,Individual,03-06-2022
C-0575,Business,03-06-2022
C-0576,Individual,03-06-2022
C-0577,Individual,04-06-2022
C-0578,Individual,04-06-2022
C-0579,Individual,04-06-2022
C-0580,Individual,04-06-2022
C-0581,Individual,05-06-2022
C-0582,Business,05-06-2022
C-0583,Individual,05-06-2022
C-0584,Business,06-06-2022
C-0585,Business,06-06-2022
C-0586,Individual,06-06-2022
C-0587,Individual,06-06-2022
C-0588,Individual,07-06-2022
C-0589,Individual,07-06-2022
C-0590,Individual,07-06-2022
C-0591,Individual,07-06-2022
C-0592,Individual,08-06-2022
C-0593,Individual,08-06-2022
C-0594,Individual,08-06-2022
C-0595,Individual,08-06-2022
C-0596,Individual,09-06-2022
C-0597,Individual,09-06-2022
C-0598,Individual,09-06-2022
C-0599,Individual,10-06-2022
C-0600,Individual,10-06-2022
C-0601,Individual,10-06-2022
C-0602,Individual,10-06-2022
C-0603,Individual,11-06-2022
C-0604,Individual,11-06-2022
C-0605,Individual,11-06-2022
C-0606,Individual,11-06-2022
C-0607,Individual,12-06-2022
C-0608,Individual,12-06-2022
C-0609,Business,12-06-2022
C-0610,Individual,13-06-2022
C-0611,Business,13-06-2022
C-0612,Individual,13-06-2022
C-0613,Individual,13-06-2022
C-0614,Business,14-06-2022
C-0615,Individual,14-06-2022
C-0616,Individual,14-06-2022
C-0617,Individual,14-06-2022
C-0618,Individual,15-06-2022
C-0619,Individual,15-06-2022
C-0620,Individual,15-06-2022
C-0621,Individual,15-06-2022
C-0622,Individual,16-06-2022
C-0623,Individual,16-06-2022
C-0624,Business,16-06-2022
C-0625,Individual,17-06-2022
C-0626,Individual,17-06-2022
C-0627,Individual,17-06-2022
C-0628,Business,17-06-2022
C-0629,Individual,18-06-2022
C-0630,Individual,18-06-2022
C-0631,Individual,18-06-2022
C-0632,Individual,18-06-2022
C-0633,Individual,19-06-2022
C-0634,Individual,19-06-2022
C-0635,Individual,19-06-2022
C-0636,Individual,19-06-2022
C-0637,Individual,20-06-2022
C-0638,Individual,20-06-2022
C-0639,Individual,20-06-2022
C-0640,Individual,21-06-2022
C-0641,Individual,21-06-2022
C-0642,Individual,21-06-2022
C-0643,Individual,21-06-2022
C-0644,Individual,22-06-2022
C-0645,Individual,22-06-2022
C-0646,Individual,22-06-2022
C-0647,Individual,22-06-2022
C-0648,Individual,23-06-2022
C-0649,Business,23-06-2022
C-0650,Individual,23-06-2022
C-0651,Individual,23-06-2022
C-0652,Individual,24-06-2022
C-0653,Individual,24-06-2022
C-0654,Business,24-06-2022
C-0655,Individual,25-06-2022
C-0656,Individual,25-06-2022
C-0657,Individual,25-06-2022
C-0658,Individual,25-06-2022
C-0659,Individual,26-06-2022
C-0660,Individual,26-06-2022
C-0661,Individual,26-06-2022
C-0662,Individual,26-06-2022
C-0663,Individual,27-06-2022
C-0664,Individual,27-06-2022
C-0665,Individual,27-06-2022
C-0666,Individual,27-06-2022
C-0667,Business,28-06-2022
C-0668,Individual,28-06-2022
C-0669,Individual,28-06-2022
C-0670,Business,29-06-2022
C-0671,Business,29-06-2022
C-0672,Individual,29-06-2022
C-0673,Individual,29-06-2022
C-0674,Individual,30-06-2022
C-0675,Business,30-06-2022
C-0676,Business,30-06-2022
C-0677,Individual,30-06-2022
C-0678,Individual,01-07-2022
C-0679,Individual,01-07-2022
C-0680,Individual,01-07-2022
C-0681,Individual,02-07-2022
C-0682,Individual,02-07-2022
C-0683,Individual,02-07-2022
C-0684,Individual,02-07-2022
C-0685,Individual,03-07-2022
C-0686,Individual,03-07-2022
C-0687,Individual,03-07-2022
C-0688,Individual,03-07-2022
C-0689,Business,04-07-2022
C-0690,Individual,04-07-2022
C-0691,Individual,04-07-2022
C-0692,Business,04-07-2022
C-0693,Individual,05-07-2022
C-0694,Individual,05-07-2022
C-0695,Individual,05-07-2022
C-0696,Individual,06-07-2022
C-0697,Business,06-07-2022
C-0698,Business,06-07-2022
C-0699,Business,06-07-2022
C-0700,Business,07-07-2022
C-0701,Individual,07-07-2022
C-0702,Individual,07-07-2022
C-0703,Business,07-07-2022
C-0704,Individual,08-07-2022
C-0705,Individual,08-07-2022
C-0706,Individual,08-07-2022
C-0707,Business,08-07-2022
C-0708,Individual,09-07-2022
C-0709,Individual,09-07-2022
C-0710,Individual,09-07-2022
C-0711,Individual,10-07-2022
C-0712,Business,10-07-2022
C-0713,Individual,10-07-2022
C-0714,Business,10-07-2022
C-0715,Business,11-07-2022
C-0716,Individual,11-07-2022
C-0717,Individual,11-07-2022
C-0718,Individual,11-07-2022
C-0719,Individual,12-07-2022
C-0720,Business,12-07-2022
C-0721,Individual,12-07-2022
C-0722,Individual,12-07-2022
C-0723,Individual,13-07-2022
C-0724,Business,13-07-2022
C-0725,Business,13-07-2022
C-0726,Individual,14-07-2022
C-0727,Business,14-07-2022
C-0728,Individual,14-07-2022
C-0729,Individual,14-07-2022
C-0730,Individual,15-07-2022
C-0731,Business,15-07-2022
C-0732,Business,15-07-2022
C-0733,Individual,15-07-2022
C-0734,Business,16-07-2022
C-0735,Individual,16-07-2022
C-0736,Individual,16-07-2022
C-0737,Individual,16-07-2022
C-0738,Individual,17-07-2022
C-0739,Individual,17-07-2022
C-0740,Individual,17-07-2022
C-0741,Individual,18-07-2022
C-0742,Individual,18-07-2022
C-0743,Individual,18-07-2022
C-0744,Individual,18-07-2022
C-0745,Individual,19-07-2022
C-0746,Individual,19-07-2022
C-0747,Individual,19-07-2022
C-0748,Individual,19-07-2022
C-0749,Individual,20-07-2022
C-0750,Individual,20-07-2022
C-0751,Individual,20-07-2022
C-0752,Business,21-07-2022
C-0753,Individual,21-07-2022
C-0754,Individual,21-07-2022
C-0755,Individual,21-07-2022
C-0756,Individual,22-07-2022
C-0757,Individual,22-07-2022
C-0758,Individual,22-07-2022
C-0759,Individual,22-07-2022
C-0760,Individual,23-07-2022
C-0761,Individual,23-07-2022
C-0762,Individual,23-07-2022
C-0763,Business,23-07-2022
C-0764,Individual,24-07-2022
C-0765,Individual,24-07-2022
C-0766,Individual,24-07-2022
C-0767,Individual,25-07-2022
C-0768,Individual,25-07-2022
C-0769,Individual,25-07-2022
C-0770,Individual,25-07-2022
C-0771,Individual,26-07-2022
C-0772,Business,26-07-2022
C-0773,Individual,26-07-2022
C-0774,Individual,26-07-2022
C-0775,Individual,27-07-2022
C-0776,Business,27-07-2022
C-0777,Business,27-07-2022
C-0778,Individual,27-07-2022
C-0779,Individual,28-07-2022
C-0780,Individual,28-07-2022
C-0781,Business,28-07-2022
C-0782,Individual,29-07-2022
C-0783,Individual,29-07-2022
C-0784,Individual,29-07-2022
C-0785,Business,29-07-2022
C-0786,Individual,30-07-2022
C-0787,Business,30-07-2022
C-0788,Individual,30-07-2022
C-0789,Individual,30-07-2022
C-0790,Individual,31-07-2022
C-0791,Individual,31-07-2022
C-0792,Individual,31-07-2022
C-0793,Individual,31-07-2022
C-0794,Individual,01-08-2022
C-0795,Individual,01-08-2022
C-0796,Individual,01-08-2022
C-0797,Individual,02-08-2022
C-0798,Individual,02-08-2022
C-0799,Individual,02-08-2022
C-0800,Individual,02-08-2022
C-0801,Individual,03-08-2022
C-0802,Individual,03-08-2022
C-0803,Individual,03-08-2022
C-0804,Individual,03-08-2022
C-0805,Business,04-08-2022
C-0806,Individual,04-08-2022
C-0807,Individual,04-08-2022
C-0808,Individual,04-08-2022
C-0809,Individual,05-08-2022
C-0810,Individual,05-08-2022
C-0811,Individual,05-08-2022
C-0812,Individual,06-08-2022
C-0813,Individual,06-08-2022
C-0814,Individual,06-08-2022
C-0815,Individual,06-08-2022
C-0816,Individual,07-08-2022
C-0817,Individual,07-08-2022
C-0818,Individual,07-08-2022
C-0819,Individual,07-08-2022
C-0820,Individual,08-08-2022
C-0821,Business,08-08-2022
C-0822,Individual,08-08-2022
C-0823,Individual,09-08-2022
C-0824,Individual,09-08-2022
C-0825,Individual,09-08-2022
C-0826,Individual,09-08-2022
C-0827,Individual,10-08-2022
C-0828,Individual,10-08-2022
C-0829,Business,10-08-2022
C-0830,Individual,10-08-2022
C-0831,Business,11-08-2022
C-0832,Business,11-08-2022
C-0833,Individual,11-08-2022
C-0834,Individual,11-08-2022
C-0835,Individual,12-08-2022
C-0836,Individual,12-08-2022
C-0837,Business,12-08-2022
C-0838,Business,13-08-2022
C-0839,Individual,13-08-2022
C-0840,Business,13-08-2022
C-0841,Individual,13-08-2022
C-0842,Individual,14-08-2022
C-0843,Individual,14-08-2022
C-0844,Individual,14-08-2022
C-0845,Individual,14-08-2022
C-0846,Individual,15-08-2022
C-0847,Individual,15-08-2022
C-0848,Individual,15-08-2022
C-0849,Individual,15-08-2022
C-0850,Business,16-08-2022
C-0851,Individual,16-08-2022
C-0852,Individual,16-08-2022
C-0853,Individual,17-08-2022
C-0854,Individual,17-08-2022
C-0855,Individual,17-08-2022
C-0856,Individual,17-08-2022
C-0857,Individual,18-08-2022
C-0858,Individual,18-08-2022
C-0859,Business,18-08-2022
C-0860,Individual,18-08-2022
C-0861,Individual,19-08-2022
C-0862,Individual,19-08-2022
C-0863,Business,19-08-2022
C-0864,Individual,19-08-2022
C-0865,Individual,20-08-2022
C-0866,Individual,20-08-2022
C-0867,Individual,20-08-2022
C-0868,Individual,21-08-2022
C-0869,Individual,21-08-2022
C-0870,Individual,21-08-2022
C-0871,Individual,21-08-2022
C-0872,Business,22-08-2022
C-0873,Individual,22-08-2022
C-0874,Individual,22-08-2022
C-0875,Individual,22-08-2022
C-0876,Individual,23-08-2022
C-0877,Individual,23-08-2022
C-0878,Individual,23-08-2022
C-0879,Business,23-08-2022
C-0880,Individual,24-08-2022
C-0881,Individual,24-08-2022
C-0882,Business,24-08-2022
